#OTU ID	Control_1	Control_2	Control_3	NEFO_1	NEFO_2	NEFO_3	NEFO_RS_1	NEFO_RS_2	NEFO_RS_3	NEO_1	NEO_2	NEO_3
OTU225	8.0	21.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU226	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0
OTU227	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
OTU228	0.0	1.0	2.0	2.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0
OTU229	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0
OTU23	0.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	3.0
OTU230	6.0	2.0	4.0	7.0	8.0	9.0	0.0	5.0	2.0	2.0	1.0	9.0
OTU231	3.0	6.0	2.0	4.0	2.0	7.0	3.0	5.0	1.0	1.0	0.0	3.0
OTU232	1.0	2.0	4.0	3.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0
OTU233	6.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
OTU234	2.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU235	2.0	4.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU236	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0
OTU237	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
OTU238	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
OTU239	0.0	0.0	26.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0
OTU24	30.0	14.0	10.0	4.0	12.0	8.0	2.0	9.0	36.0	4.0	17.0	18.0
OTU240	1.0	1.0	3.0	2.0	0.0	4.0	0.0	1.0	1.0	3.0	0.0	4.0
OTU241	4.0	10.0	21.0	0.0	30.0	7.0	87.0	161.0	0.0	3.0	0.0	1321.0
OTU242	0.0	6.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0
OTU243	4.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU244	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU245	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0
OTU246	0.0	46.0	0.0	9.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
OTU247	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU248	8.0	14.0	0.0	0.0	0.0	21.0	1.0	0.0	1.0	8.0	0.0	6.0
OTU249	5.0	7.0	2.0	2.0	4.0	0.0	19.0	0.0	1.0	8.0	0.0	1.0
OTU25	0.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU250	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU251	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
OTU252	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
OTU253	1.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU254	0.0	1.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU255	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
OTU257	4.0	0.0	1.0	2.0	0.0	1.0	1.0	3.0	8.0	7.0	1.0	0.0
OTU258	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
OTU259	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU26	1.0	5.0	0.0	0.0	1.0	22.0	22.0	1.0	6.0	1.0	0.0	2.0
OTU260	18.0	24.0	6.0	0.0	1.0	38.0	0.0	28.0	1.0	7.0	0.0	6.0
OTU261	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU262	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	5.0	1.0	10.0
OTU263	8.0	0.0	4.0	3.0	3.0	2.0	2.0	1.0	2.0	0.0	0.0	1.0
OTU264	0.0	0.0	4.0	4.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU265	16.0	21.0	3.0	1.0	0.0	0.0	2.0	0.0	5.0	2.0	1.0	2.0
OTU266	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
OTU267	0.0	1.0	0.0	1.0	1.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0
OTU268	0.0	2.0	10.0	43.0	17.0	52.0	92.0	0.0	4.0	0.0	0.0	54.0
OTU269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
OTU27	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
